A Little Chat|Conversinha
Visage of Bolas|Face de Nicol Bolas
Visara the Dreadful|Visara a Pavorosa
Viscera Dragger|Rebocador Visceral
Viscera Seer|Vidente Visceral
Viscerid Armor|Armadura Viscérida
Viscerid Deepwalker|Passo-Fundo Viscérida
Viscerid Drone|Mandrião Viscérida
Viscid Lemures|Lêmures Viscosos
Viseling|Prensilídeo
Vishgraz, the Doomhive|Vishgraz, a Colmeia da Perdição
Vision Charm|Medalhão da Visão
Vision Skeins|Mixórdia Visionária
Visionary Augmenter|Amplificadora Visionária
Visions of Beyond|Visões do Além
Visions of Brutality|Visões de Brutalidade
Visions of Dominance|Visões de Dominância
Visions of Dread|Visões de Pavor
Visions of Duplicity|Visões de Duplicidade
Visions of Glory|Visões de Glória
Visions of Phyrexia|Visões de Phyrexia
Visions of Ruin|Visões de Ruína
Visions|Visões
Vital Splicer|Implantador de Vitalidade
Vital Surge|Surto Vital
Vitality Charm|Medalhão de Vitalidade
Vitality Hunter|Caçador de Vitalidade
Vitalize|Vitalizar
Vitalizing Cascade|Cascata Revigorante
Vitalizing Wind|Vento Vitalizante
Vitaspore Thallid|Talídia Vitasporo
Vithian Renegades|Renegados Vithianos
Vithian Stinger|Aguilhoador Vithiano
Vito, Thorn of the Dusk Rose|Vito, Espinho da Rosa do Ocaso
Vitu-Ghazi Guildmage|Mago de Guilda de Vitu-Ghazi
Vitu-Ghazi, the City-Tree|Vitu-Ghazi, a Árvore-Cidade
Vivid Crag|Penhasco Vívido
Vivid Creek|Riacho Vívido
Vivid Grove|Bosque Vívido
Vivid Marsh|Pântano Vívido
Vivid Meadow|Prado Vívido
Vivid Revival|Vívido Reviver
Vivien Reid|Vivien Reid
Vivien of the Arkbow|Vivien do Arco Bestial
Vivien on the Hunt|Vivien à Caça
Vivien's Arkbow|Arco Bestial de Vivien
Vivien's Crocodile|Crocodilo de Vivien
Vivien's Grizzly|Urso Pardo de Vivien
Vivien's Invocation|Invocação de Vivien
Vivien's Jaguar|Jaguar de Vivien
Vivien's Talent|Talento de Vivien
Vivien, Arkbow Ranger|Vivien, Patrulheira do Arco Bestial
Vivien, Champion of the Wilds|Vivien, Campeã da Natureza
Vivien, Monsters' Advocate|Vivien, Protetora dos Monstros
Vivien, Nature's Avenger|Vivien, Vingadora da Natureza
Vivify|Vivificar
Vivisection Evangelist|Evangelista da Vivissecção
Vivisection|Vivissecção
Vivisurgeon's Insight|Visão de Vivicirurgião
Vizier of Deferment|Vizir do Diferimento
Vizier of Many Faces|Vizir das Muitas Faces
Vizier of Remedies|Vizir dos Remédios
Vizier of Tumbling Sands|Vizir das Areias Correntes
Vizier of the Anointed|Vizir dos Ungidos
Vizier of the Menagerie|Vizir do Bestiário
Vizier of the Scorpion|Vizir do Escorpião
Vizier of the True|Vizir da Verdadeira
Vizkopa Confessor|Confessor de Vizkopa
Vizkopa Guildmage|Mago de Guilda de Vizkopa
Vizkopa Vampire|Vampiro do Vizkopa
Vizzerdrix|Vizzerdrix
Voda Sea Scavenger|Necrófago do Mar de Voda
Vodalian Arcanist|Arcanista Vodaliano
Vodalian Hexcatcher|Vodalian Hexcatcher
Vodalian Hypnotist|Hipnotizador Vodaliano
Vodalian Illusionist|Ilusionista Vodaliano
Vodalian Merchant|Mercador Vodaliano
Vodalian Mindsinger|Canta-mente Vodaliana
Vodalian Mystic|Místico Vodaliano
Vodalian Serpent|Serpente Vodaliana
Vodalian Soldiers|Soldados Vodalianos
Vodalian Wave-Knight|Cavaleira das Ondas Vodaliana
Vodalian Zombie|Zumbi Vodaliano
Vohar, Vodalian Desecrator|Vohar, Profanador Vodaliano
Voice of All|Porta-voz
Voice of Duty|Voz do Dever
Voice of Grace|Voz da Graça
Voice of Law|Voz da Lei
Voice of Many|Voz de Muitos
Voice of Reason|Voz da Razão
Voice of Resurgence|
Voice of Truth|Voz da Verdade
Voice of the Blessed|Voz dos Abençoados
Voice of the Provinces|Voz das Províncias
Voice of the Vermin|Voz das Pragas
Voice of the Woods|Voz das Matas
Voiceless Spirit|Espírito Sem Voz
Voices from the Void|Vozes do Vácuo
Void Attendant|Assistente do Vazio
Void Beckoner|Invocador do Vazio
Void Grafter|Enxertador do Vazio
Void Maw|Bucho Vazio
Void Mirror|Espelho do Vazio
Void Rend|Laceração do Vazio
Void Shatter|Despedaçar o Vácuo
Void Snare|Armadilha do Vácuo
Void Squall|Rajada de Vácuo
Void Stalker|Espreitador do Vácuo
Void Winnower|Peneirador do Vácuo
Voidmage Apprentice|Aprendiz dos Magos do Vácuo
Voidmage Husher|Silenciador Mago do Vácuo
Voidmage Prodigy|Prodígio dos Magos do Vácuo
Voidslime|Gosmanuladora
Voidstone Gargoyle|Gárgula de Pedra Vazia
Voidwalk|Atravessar o Vácuo
Voidwielder|Manipulador do Vácuo
Voidwing Hybrid|Híbrido Asa-do-vazio
Void|Vácuo
Volatile Claws|Garras Voláteis
Volatile Fjord|Fjord Volátil
Volatile Rig|Carroça Volátil
Volcanic Awakening|Despertar Vulcânico
Volcanic Dragon|Dragão Vulcânico
Volcanic Eruption|Erupção Vulcânica
Volcanic Fallout|Chuva Vulcânica
Volcanic Geyser|Gêiser Vulcânico
Volcanic Hammer|Martelo Vulcânico
Volcanic Rambler|Caminhante Vulcânico
Volcanic Rush|Ímpeto Vulcânico
Volcanic Salvo|Salva Vulcânica
Volcanic Spite|Rancor Vulcânico
Volcanic Spray|Jorro Vulcânico
Volcanic Strength|Força Vulcânica
Volcanic Submersion|Submersão Vulcânica
Volcanic Torrent|Torrente Vulcânica
Volcanic Upheaval|Sublevação Vulcânica
Volcanic Vision|Visão Vulcânica
Volcanic Wind|Vento Vulcânico
Volcano Hellion|Fera Avernal Vulcânica
Volcano Imp|Diabrete do Vulcão
Voldaren Ambusher|Emboscador Voldaren
Voldaren Duelist|Duelista Voldaren
Voldaren Epicure|Epicurista Voldaren
Voldaren Estate|Propriedade dos Voldaren
Voldaren Pariah|Pária Voldaren
Voldaren Stinger|Ferroadora Voldaren
Voldaren Thrillseeker|Caçadora de Emoções Voldaren
Volition Reins|Rédeas da Vontade
Volley Veteran|Veterano das Saraivadas
Volley of Boulders|Torrente de Seixos
Volo, Guide to Monsters|Volo, Guia dos Monstros
Volo, Itinerant Scholar|Volo, Erudito Itinerante
Volrath the Fallen|Volrath, o Caído
Volrath's Curse|Maldição de Volrath
Volrath's Dungeon|Masmorra de Volrath
Volrath's Gardens|Jardins de Volrath
Volrath's Laboratory|Laboratório de Volrath
Volrath's Shapeshifter|Metamorfo de Volrath
Volrath's Stronghold|Fortaleza de Volrath
Volrath, the Shapestealer|Volrath, o Ladrão de Formas
Volshe Tideturner|Volshe Tideturner
Volt Charge|Ataque Voltaico
Voltage Surge|Surto Voltaico
Voltaic Brawler|Brigão Voltaico
Voltaic Construct|Constructo Voltaico
Voltaic Key|Chave Voltaica
Voltaic Servant|Servo Voltaico
Volunteer Militia|
Volunteer Reserves|Reserva de Voluntários
Vona's Hunger|Fome de Vona
Vona, Butcher of Magan|Vona, Açougueira de Magan
Voracious Cobra|Naja Voraz
Voracious Dragon|Dragão Voraz
Voracious Fell Beast|Fera Atroz Voraz
Voracious Greatshark|Megatubarão Voraz
Voracious Hatchling|Cria Voraz
Voracious Hydra|Hidra Voraz
Voracious Null|Nulo Voraz
Voracious Reader|Leitor Voraz
Voracious Typhon|Tifão Voraz
Voracious Vampire|Vampiro Voraz
Voracious Wurm|Vorme Voraz
Vorapede|Devorípede
Vorel of the Hull Clade|Vorel da Cepa do Casco
Vorinclex, Monstrous Raider|Vorinclex, Salteador Monstruoso
Vorinclex, Voice of Hunger|Vorinclex, Voz da Fome
Vorosh, the Hunter|Vorosh, o Caçador
Vorpal Sword|Espada Vorpal
Vorrac Battlehorns|Chifres de Vorrac para Combate
Vorstclaw|Garra Voraz
Vortex Elemental|Elemental do Vórtice
Vortex Runner|Corredora do Vórtice
Votary of the Conclave|Devoto do Conclave
Vow of Duty|Voto do Dever
Vow of Flight|Voto de Voo
Vow of Lightning|Voto do Relâmpago
Vow of Torment|Voto de Tormento
Vow of Wildness|Voto de Selvageria
Voyage's End|Fim da Viagem
Voyager Drake|Dragonete Viajante
Voyager Staff|Cajado de Viajante
Voyaging Satyr|Sátiro Viajante
Vraan, Executioner Thane|Vraan, Thane Executor
Vraska the Unseen|Vraska, a Oculta
Vraska's Conquistador|Conquistador de Vraska
Vraska's Contempt|Desprezo de Vraska
Vraska's Fall|Queda de Vraska
Vraska's Finisher|Finalizadora de Vraska
Vraska's Scorn|Escárnio de Vraska
Vraska's Stoneglare|Olhar Pétreo de Vraska
Vraska, Betrayal's Sting|Vraska, Ferrão da Traição
Vraska, Golgari Queen|Vraska, Rainha Golgari
Vraska, Regal Gorgon|Vraska, Górgona Régia
Vraska, Relic Seeker|Vraska, Caçadora de Relíquias
Vraska, Scheming Gorgon|Vraska, Górgona Ardilosa
Vraska, Swarm's Eminence|Vraska, Eminência do Enxame
Vrock|Vrock
Vrondiss, Rage of Ancients|Vrondiss, Fúria dos Antigos
Vryn Wingmare|Corcel Alado de Vryn
Vug Lizard|Lagarto da Fenda
Vulpikeet|Vulpipagaio
Vulpine Goliath|Golias Vulpino
Vulpine Harvester|Ceifador Vulpino
Vulshok Battlegear|Armadura dos Vulshoques
Vulshok Battlemaster|Vulshoque Mestre de Batalha
Vulshok Berserker|Vulshoque Enfurecido
Vulshok Factory|Fábrica Vulshoque
Vulshok Gauntlets|Manoplas dos Vulshoques
Vulshok Heartstoker|Animofoguista Vulshoque
Vulshok Morningstar|Maça-estrela dos Vulshoques
Vulshok Refugee|Refugiado Vulshoque
Vulshok Replica|Réplica de Vulshoque
Vulshok Sorcerer|Feiticeiro Vulshoque
Vulshok Splitter|Divisor Vulshoque
Vulshok War Boar|Javali de Guerra dos Vulshoques
Vulturous Aven|Aviano Rapace
Vulturous Zombie|Zumbi Predador
Wail of the Nim|Lamúria dos Nim
Wailing Ghoul|Carniçal Lamuriante
Waiting in the Weeds|Espreita Entre Arbustos
Wake Thrasher|Cauda Borrascosa
Wake of Destruction|Despertar da Destruição
Wake of Vultures|Vigília de Abutres
Wake the Dragon|Acordar o Dragão
Wake the Past|Despertar o Passado
Wake the Reflections|
Wake to Slaughter|Despertar para a Matança
Wakedancer|Dançarina da Vigília
Wakening Sun's Avatar|Avatar do Sol Nascente
Waker of Waves|Despertador de Ondas
Waker of the Wilds|Despertadora das Forças Selvagens
Wakeroot Elemental|Elemental das Raízes Despertas
Wakestone Gargoyle|Gárgula de Pedra Despertada
Waking Nightmare|Pesadelo Inquietante
Waking the Trolls|Despertar os Trols
Walk the Aeons|Caminhar nas Eternidades
Walk the Plank|Andar na Prancha
Walker of Secret Ways|Andarilha de Caminhos Ocultos
Walker of the Grove|Andarilho do Bosque
Walker of the Wastes|Andarilho dos Ermos
Walking Archive|Arquivo Ambulante
Walking Atlas|Atlas Ambulante
Walking Ballista|Balista Ambulante
Walking Bulwark|Baluarte Ambulante
Walking Corpse|Cadáver Ambulante
Walking Desecration|Execração Ambulante
Walking Dream|Sonho Andarilho
Walking Skyscraper|Arranha-céu Ambulante
Walking Sponge|Esponja Caminhante
Walking Wall|Barreira Ambulante
Wall of Air|Barreira de Ar
Wall of Blood|Barreira de Sangue
Wall of Blossoms|Barreira de Flores
Wall of Bone|Barreira de Ossos
Wall of Brambles|Barreira de Sarças
Wall of Corpses|Barreira de Cadáveres
Wall of Deceit|Barreira Enganosa
Wall of Denial|Barreira da Negação
Wall of Diffusion|Barreira de Difusão
Wall of Distortion|Barreira de Distorção
Wall of Dust|Barreira de Pó
Wall of Essence|Barreira de Essência
Wall of Faith|Muro da Fé
Wall of Fire|Barreira de Fogo
Wall of Forgotten Pharaohs|Muro dos Faraós Esquecidos
Wall of Frost|Barreira Congelada
Wall of Glare|Barreira Fulgurante
Wall of Hope|Barreira de Esperança
Wall of Ice|Barreira de Gelo
Wall of Junk|Barreira de Sucata
Wall of Kelp|Barreira de Algas
Wall of Lava|Barreira de Lava
Wall of Limbs|Barreira de Membros
Wall of Lost Thoughts|Barreira dos Pensamentos Perdidos
Wall of Mist|Barreira da Névoa
Wall of Mourning|Muro do Luto
Wall of Mulch|Barreira de Palha
Wall of Nets|Barreira de Redes
Wall of Omens|Barreira de Agouros
Wall of One Thousand Cuts|Barreira de Mil Cortes
Wall of Pine Needles|Barreira de Agulhas de Pinheiro
Wall of Razors|Barreira de Navalhas
Wall of Resistance|Barreira de Resistência
Wall of Resurgence|Barreira de Ressurgência
Wall of Reverence|Barreira de Reverência
Wall of Roots|Barreira de Raízes
Wall of Runes|Barreira de Runas
Wall of Shards|Barreira de Estilhaços
Wall of Shields|Barreira de Escudos
Wall of Souls|Barreira de Espíritos
Wall of Spears|Barreira de Lanças
Wall of Stolen Identity|Barreira de Identidade Roubada
Wall of Stone|Barreira de Pedra
Wall of Swords|Barreira de Espadas
Wall of Tanglecord|Barreira de Corda do Emaranhado
Wall of Tears|Barreira de Lágrimas
Wall of Torches|Barreira de Tochas
Wall of Vines|Barreira de Trepadeiras
Wall of Vipers|Barreira de Víboras
Wall of Water|Barreira de Água
Wall of Wonder|Barreira de Assombro
Wall of Wood|Barreida de Madeira
Wallop|Pujança
Wand of Denial|Bastão da Anulação
Wand of Orcus|Varinha de Orcus
Wand of Vertebrae|Varinha de Vértebras
Wand of Wonder|Varinha das Maravilhas
Wand of the Elements|Cetro dos Elementos
Wand of the Worldsoul|Varinha da Anima Mundi
Wander in Death|Vagar na Morte
Wanderbrine Rootcutters|Corta-Raízes de Salmorerrante
Wanderer's Intervention|Intervenção da Errante
Wanderer's Strike|Golpe da Errante
Wanderer's Twig|Galho do Andarim
Wanderguard Sentry|Sentinela da Guarda-errante
Wandering Champion|Campeão Errante
Wandering Eye|Olho Errante
Wandering Fumarole|Fumarola Errante
Wandering Goblins|Goblins Errantes
Wandering Graybeard|Barba-Cinza Andarilho
Wandering Mage|Mago Errante
Wandering Mind|Mente Vagante
Wandering Ones|Os Andarilhos
Wandering Stream|Fluxo Errante
Wandering Tombshell|Casco-tumba Errante
Wandering Troubadour|Trovadora Errante
Wandering Wolf|Lobo Errante
Wanderlight Spirit|Espírito da Luz Vagante
Wanderlust|Anseio por Viagem
Wandermare|Égua Peregrina
Wanderwine Hub|Central de Vinherrante
Wanderwine Prophets|Profetas de Vinherrante
Wane|Engrandecer
Waning Wurm|Vorme Evanescente
Wanted Scoundrels|Patifes Procurados
War Barge|Barco de Guerra
War Behemoth|Behemoth de Guerra
War Cadence|Cadência da Guerra
War Chariot|Carruagem de Guerra
War Dance|Dança de Guerra
War Elemental|Elemental da Guerra
War Falcon|Falcão de Guerra
War Flare|Sinalizador de Guerra
War Historian|Historiador Bélico
War Horn|Trombeta de Guerra
War Mammoth|Mamute de Guerra
War Oracle|Oráculo da Guerra
War Priest of Thune|Sacerdote de Guerra de Thune
War Report|Relatório de Guerra
War Room|Salão de Guerra
War Screecher|Guinchador de Guerra
War Tax|Imposto Marcial
War of the Last Alliance|Guerra da Última Aliança
War's Toll|Preço da Guerra
War-Name Aspirant|Aspirante a Nome de Guerra
War-Spike Changeling|Morfolóide Estaca-Bélica
War-Torch Goblin|Goblin Tocha de Guerra
War-Trained Slasher|Golpeador Treinado para a Guerra
War-Wing Siren|Sirena Asa-de-guerra
Warbeast of Gorgoroth|Fera de Guerra de Gorgoroth
Warbreak Trumpeter|Trombeteiro Irrompe-Guerra
Warbriar Blessing|Bênção da Sarça-de-guerra
Warbringer|Proclamador de Guerra
Warchanter Skald|Skald Cantador de Guerra
Warchanter of Mogis|Cantador de Guerra de Mogis
Warclamp Mastiff|Mastim Torno-de-Guerra
Warcry Phoenix|Fênix do Grito de Guerra
Ward Sliver|Fractius Protetor
Ward of Bones|Protetor de Ossos
Ward of Lights|Proteção de Luzes
Ward of Piety|Defesa de Piedade
Warded Battlements|Ameias Protegidas
Warden of Evos Isle|Guardião da Ilha de Evos
Warden of Geometries|Guardião de Geometrias
Warden of the Beyond|Guardião do Além
Warden of the Chained|Guardiã dos Acorrentados
Warden of the Eye|Guardião do Olho
Warden of the First Tree|Guardião da Primeira Árvore
Warden of the Wall|Guardião da Muralha
Warden of the Woods|Guardião das Matas
Warden|Proteção
Wardscale Crocodile|Crocodilo de Escamas Defletoras
Wardscale Dragon|Dragão de Escama Defletora
Warehouse Thief|Ladrão de Armazéns
Warfire Javelineer|Zagaieiro Belígneo
Wargate|Portão da Guerra
Warhorn Blast|Soar da Trombeta de Guerra
Warhost's Frenzy|Frenesi da Hoste de Guerra
Warkite Marauder|Saqueador do Aeroveleiro Bélico
Warleader's Helix|
Warlock Class|Classe: Bruxo
Warlord's Axe|Machado do Senhor da Guerra
Warlord's Elite|Elite do Senhor da Guerra
Warlord's Fury|Fúria da Senhora da Guerra
Warm Welcome|Recepção Calorosa
Warmind Infantry|Infantaria Mente Bélica
Warmonger Hellkite|Dragão Avérneo Belicista
Warmonger's Chariot|Carruagem do Belicista
Warmonger|Vendilhão de Guerra
Warmth|Calidez
Warning|Aviso
Warp Artifact|Deformar Artefato
Warp World|Mundo Corrompido
Warpath Ghoul|Carniçal da Via Bélica
Warpath|Pé de Guerra
Warped Devotion|Devoção Destroçada
Warped Landscape|Paisagem Distorcida
Warped Physique|
Warped Researcher|Pesquisador Deformado
Warping Wail|Lamento Distorcedor
Warping Wurm|Vorme Telecinético
Warrant|Permissão
Warren Instigator|Instigador de Vilarejo
Warren Pilferers|Gatunos do Vilarejo
Warren Weirding|Esquisitice do Vilarejo
Warren-Scourge Elf|Elfo Flagelo de Vilarejo
Warrior Angel|Anjo Guerreiro
Warrior en-Kor|Guerreiro en-Kor
Warrior's Honor|Honra de Guerreiro
Warrior's Stand|
Warriors' Lesson|Lição do Guerreiro
Warstorm Surge|Surto da Tempestade Bélica
Warteye Witch|Bruxo dos Verrolhos
Warthog|Facócero
Wary Okapi|Okapi Atento
Wary Thespian|Ator Desconfiado
Wash Away|Lavar
Wash Out|Solapamento
Wasitora, Nekoru Queen|Wasitora, Rainha Nekoru
Wasp Lancer|Lanceiro de Vespa
Wasp of the Bitter End|Vespa do Amargo Fim
Waste Away|Definhar
Waste Not|Não Desperdiçar
Wasteful Harvest|Colheita Arrasadora
Wasteland Scorpion|Escorpião dos Ermos
Wasteland Strangler|Estrangulador dos Ermos
Wasteland Viper|Víbora dos Ermos
Wasteland|Terras Ermas
Wastes|Ermo
Watchdog|Cão de Guarda
Watcher Sliver|Fractius Observador
Watcher for Tomorrow|Vigia do Amanhã
Watcher in the Mist|Vigia na Névoa
Watcher in the Web|Vigia na Teia
Watcher of the Roost|Vigia do Poleiro
Watcher of the Spheres|Observador das Esferas
Watchers of the Dead|Vigias dos Mortos
Watchful Automaton|Autômato Vigilante
Watchful Blisterzoa|Bolhazoário Vigilante
Watchful Giant|Gigante Vigilante
Watchful Naga|Naga Vigilante
Watchwing Scarecrow|Espantalho das Asas Vigilantes
Watchwolf|Lobo Vigia
Water Elemental|Elemental da Água
Water Servant|Servo da Água
Watercourser|Cursor D'água
Waterfall Aerialist|Aerialista da Cachoeira
Waterfront Bouncer|Segurança das Docas
Waterfront District|Distrito da Orla
Waterkin Shaman|Xamã Aquíneo
Waterknot|Nó D'água
Waterlogged Grove|Bosque Encharcado
Waterspout Djinn|Gênio da Voragem
Waterspout Elemental|Elemental da Voragem
Waterspout Weavers|Tecelãs de Tromba D'Água
Watertrap Weaver|Tecedora de Armadilhas Aquáticas
Waterveil Cavern|Caverna do Véu d'Água
Waterwhirl|Turbilhão D'água
Watery Grave|Túmulo Aquático
Wave Elemental|Elemental das Ondas
Wave of Indifference|Onda de Indiferença
Wave of Reckoning|Vaga de Retribuição
Wave of Terror|Onda de Terror
Wave-Wing Elemental|Elemental Asa-de-onda
Wavebreak Hippocamp|Hipocampo da Arrebentação
Wavecrash Triton|Talassido da Rebentação
Waves of Aggression|Ondas de Agressão
Wavesifter|Ondo-peneirador
Waveskimmer Aven|Avíneo Escumador de Ondas
Waxing Moon|Lua Crescente
Waxmane Baku|Baku de Cera
Wax|Decrescer
Way of the Thief|Caminho do Ladrão
Wayfarer's Bauble|Bijuteria do Viajante
Wayfaring Giant|Gigante Viajante
Wayfaring Temple|Templo Viajante
Waylay|Emboscar
Wayward Angel|Anjo Inconstante
Wayward Disciple|Discípulo Desencaminhado
Wayward Giant|Gigante Errático
Wayward Guide-Beast|Fera-guia Errática
Wayward Servant|Servo Desobediente
Wayward Soul|Alma Inconstante
Wayward Swordtooth|Gladiodonte Descontrolado
Weakness|Fraqueza
Weakstone's Subjugation|Subjugação da Pedra de Fraqueza
Weapon Rack|Cavalete de Armas
Weapon Surge|
Weaponcraft Enthusiast|Entusiasta de Armifício
Weaponize the Monsters|Militarizar os Monstros
Weapons Trainer|Treinador de Armas
Wear Away|Desgastar
Wear|Desgastar
Weaselback Redcap|Barrete Vermelho Monta-furão
Weather the Storm|Resistir à Tempestade
Weathered Bodyguards|Guarda-Costas Desgastados
Weathered Runestone|Pedra Rúnica Desbotada
Weathered Wayfarer|Viajante Enrijecido
Weatherlight Compleated|Bons Ventos Completado
Weatherlight|Bons Ventos
Weatherseed Elf|Elfo da Semente dos Ventos
Weatherseed Faeries|Fadas da Semente dos Ventos
Weatherseed Totem|Totem da Semente dos Ventos
Weatherseed Treefolk|Ents da Semente dos Ventos
Weave Fate|Tecer Destino
Weaver of Currents|Tecelã de Correntes
Weaver of Harmony|Tecelã da Harmonia
Weaver of Lies|Tecelão de Mentiras
Weaver of Lightning|Tecelão de Raios
Web of Inertia|Teia de Inércia
Webspinner Cuff|Bracelete Teceteia
Webweaver Changeling|Morfoloide Teceteia
Web|Teia
Wedding Invitation|Convite de Casamento
Wedding Ring|Aliança de Casamento
Wedding Security|Segurança do Casamento
Wee Dragonauts|Dragonautas Minúsculos
Weed Strangle|Estrangular Praga
Weed-Pruner Poplar|Choupo Poda-Praga
Weigh Down|Afundar
Weight of Conscience|Peso da Consciência
Weight of Memory|Peso da Memória
Weight of Spires|Peso de Espirais
Weight of the Underworld|Peso do Submundo
Weird Harvest|Colheita Estranha
Weirded Vampire|Vampira Bizarra
Weirding Shaman|Xamã Bizarro
Weirding Wood|Madeira Bizarra
Welcome Home|Boas-vindas ao Lar
Welcome to the Fold|Bem-vindo ao Rebanho
Welcoming Vampire|Vampira da Recepção
Welder Automaton|Autômato Soldador
Weldfast Engineer|Engenheiro Soldafirme
Weldfast Monitor|Sáurio de Soldafirme
Weldfast Wingsmith|Aseiro de Soldafirme
Welding Jar|Jarro de Solda
Welding Sparks|Centelhas da Solda
Welkin Guide|Guia do Firmamento
Welkin Hawk|Falcão do Firmamento
Welkin Tern|Carrago Celeste
Well of Discovery|Poço da Descoberta
Well of Knowledge|Poço da Sabedoria
Well of Life|Poço da Vida
Well of Lost Dreams|Poço dos Sonhos Perdidos
Well-Laid Plans|Planos Bem Feitos
Wellgabber Apothecary|Boticário Tagarela de Poço
Wellspring|Manancial
Wellwisher|Desejador do Bem
Werebear|Homem-Urso
Werewolf Pack Leader|Líder de Matilha de Lobisomens
Werewolf Ransacker|Lobisomem Saqueador
Werewolf of Ancient Hunger|Lobisomem da Fome Ancestral
Western Paladin|Paladino do Oeste
Westfold Rider|Ginete do Folde Ocidental
Westgate Regent|Regente do Portão Ocidental
Westvale Abbey|Abadia de Oestevale
Westvale Cult Leader|Líder de Culto de Oestevale
Wetland Sambar|Sâmbar do Charco
Whack|Fustigar
Whalebone Glider|Planador de Ossos de Baleia
Wharf Infiltrator|Infiltrador do Cais
Wheel and Deal|Usar e Abusar
Wheel of Fate|Roda do Destino
Wheel of Misfortune|Roda do Infortúnio
Wheel of Sun and Moon|Roda do Sol e da Lua
Wheel of Torture|Roda da Tortura
Whelming Wave|Onda Imersora
When We Were Young|Quando Éramos Jovens
Where Ancients Tread|Onde Marcham os Anciãos
Whetstone|Rebôlo
Whetwheel|Rodamoladora
Whim of Volrath|Capricho de Volrath
Whims of the Fates|Caprichos dos Destinos
Whimwader|Andarilho Mental
Whip Sergeant|Sargento Açoitador
Whip Silk|Seda de Chicote
Whip Vine|Trepadeira Fustigante
Whip of Erebos|Chicote de Érebo
Whip-Spine Drake|Dragonete Caudaçoitador
Whipcorder|Boleador
Whipflare|Labareda Açoitadora
Whipgrass Entangler|Emaranhador de Capim-Chicote
Whipkeeper|Guarda-Açoite
Whiplash Trap|Armadilha de Chicotada
Whipstitched Zombie|Zumbi Chuleado
Whiptail Moloch|Moloch Cauda-de-Chicote
Whiptongue Frog|Sapo Língua-de-chicote
Whiptongue Hydra|Hidra Língua-de-chicote
Whir of Invention|Zumbido da Invenção
Whirler Rogue|Ladra dos Turbilinos
Whirler Virtuoso|Virtuose dos Turbilinos
Whirlermaker|Turbilinador
Whirling Catapult|Catapulta Giratória
Whirling Dervish|Mevlevi
Whirling Strike|Golpe Rodopiante
Whirlpool Drake|Dragonete do Redemoinho
Whirlpool Rider|Ginete do Redemoinho
Whirlpool Warrior|Guerreiro do Redemoinho
Whirlpool Whelm|Inundar em Redemoinho
Whirlwind Adept|Adepto do Redemoinho
Whirlwind Denial|Negação Vorticosa
Whirlwind of Thought|Redemoinho de Pensamentos
Whirlwind|Tufão
Whisk Away|Esvoaçar Fatal
Whisper Agent|Agente dos Sussurros
Whisper Squad|Esquadrão dos Sussurros
Whisper of the Dross|Sussurro de Dross
Whisper, Blood Liturgist|Sussurro, Liturgista do Sangue
Whisperer of the Wilds|Sussurradora das Selvas
Whispering Madness|Loucura Sussurrante
Whispering Shade|Vulto Sussurrante
Whispering Snitch|Delator Sussurrador
Whispering Specter|Espectro Sussurrante
Whispering Wizard|Mago Sussurrante
Whispers of Emrakul|Sussurros de Emrakul
Whispers of the Muse|Sussurros da Musa
Whispersilk Cloak|Manto de Seda Ruflante
Whispersteel Dagger|Adaga de Aço Sussurrante
Whisperwood Elemental|Elemental da Mata Sussurrante
White Dragon|Dragão Branco
White Knight|Cavaleiro Branco
White Mana Battery|Bateria de Mana Branco
White Plume Adventurer|Aventureira da Pluma Branca
White Scarab|Escaravelho Branco
White Shield Crusader|Cruzado do Escudo Branco
White Sun's Twilight|Crepúsculo do Sol Branco
White Sun's Zenith|Zênite do Sol Branco
White Ward|Defesa Branca
Whitemane Lion|Leão de Juba Branca
Whiteout|Nivoso
Whitesun's Passage|Passagem do Sol Branco
Whitewater Naiads|Náiades das Corredeiras
Wicked Akuba|Akuba Iníquo
Wicked Guardian|Guardiã Malvada
Wicked Reward|Recompensa Iníqua
Wicked Slumber|Sono Maldito
Wicked Wolf|Lobo Mau
Wicker Warcrawler|Rastejador Vimíneo
Wicker Witch|Bruxa de Vime
Wickerbough Elder|Ancião Galhos-de-Vime
Widespread Brutality|Brutalidade Generalizada
Widespread Thieving|Roubo Generalizado
Wight of Precinct Six|Monstro da Jurisdição Seis
Wight|Inumano
Wiitigo|Wiitigo
Wild Aesthir|Aesthir Selvagem
Wild Beastmaster|Mestra de Feras Selvagem
Wild Cantor|Precentora Selvagem
Wild Celebrants|Celebrantes Selvagens
Wild Ceratok|Ceratok Selvagem
Wild Colos|Colos Selvagem
Wild Defiance|Desafio Selvagem
Wild Dogs|Cães Selvagens
Wild Elephant|Elefante Selvagem
Wild Endeavor|Empreitada Selvagem
Wild Evocation|Evocação Selvagem
Wild Griffin|Grifo Selvagem
Wild Growth|Crescimento Virente
Wild Guess|Aposta Cega
Wild Hunger|Fome Selvagem
Wild Instincts|Instintos Selvagens
Wild Jhovall|Jhovall Selvagem
Wild Leotau|Leotau Selvagem
Wild Magic Surge|Surto de Magia Selvagem
Wild Mammoth|Mamute Selvagem
Wild Might|Vigor Selvagem
Wild Mongrel|Mestiços Selvagens
Wild Nacatl|Nacatl Selvagem
